t build_seconds sweep_seconds
476 5.2920000000000003e-06 5.4082999999999997e-05
477 5.1250000000000001e-06 5.0374999999999998e-05
478 5.2909999999999998e-06 5.1375000000000002e-05
479 5.1660000000000002e-06 5.2166999999999997e-05
480 5.1250000000000001e-06 5.1208000000000002e-05
481 5.1250000000000001e-06 5.2250000000000003e-05
482 4.9169999999999997e-06 4.8000000000000001e-05
483 4.8749999999999999e-06 5.3417e-05
484 4.916e-06 5.4125000000000001e-05
485 5.0420000000000002e-06 5.1249999999999999e-05
486 4.792e-06 4.7833000000000001e-05
487 4.583e-06 4.8167000000000001e-05
488 4.6659999999999999e-06 4.6999999999999997e-05
489 4.583e-06 4.4209000000000003e-05
490 4.7090000000000001e-06 5.1416999999999999e-05
491 4.8330000000000001e-06 4.7500000000000003e-05
492 4.9590000000000003e-06 5.0875000000000003e-05
493 4.7910000000000004e-06 4.9542000000000001e-05
494 4.7500000000000003e-06 8.4458999999999999e-05
495 5.2079999999999999e-06 8.8374999999999993e-05
496 4.9579999999999998e-06 5.0541000000000003e-05
497 5.0420000000000002e-06 5.3458999999999998e-05
498 4.9169999999999997e-06 5.0541000000000003e-05
499 4.8749999999999999e-06 5.1999999999999997e-05
500 5.0830000000000003e-06 5.2624999999999998e-05
501 5.2499999999999997e-06 5.3083e-05
502 5.2499999999999997e-06 5.1542000000000002e-05
503 4.9590000000000003e-06 4.6999999999999997e-05
504 4.7910000000000004e-06 5.0791999999999998e-05
505 4.6670000000000004e-06 4.6499999999999999e-05
506 4.7500000000000003e-06 4.5042e-05
507 4.8339999999999998e-06 5.0832999999999999e-05
508 4.6249999999999998e-06 4.7333999999999998e-05
509 4.5839999999999996e-06 4.3875000000000003e-05
510 5.0420000000000002e-06 4.7042000000000001e-05
511 4.9590000000000003e-06 4.375e-05
512 4.9169999999999997e-06 4.1749999999999998e-05
513 5.0000000000000004e-06 4.3124999999999998e-05
514 4.7500000000000003e-06 4.8665999999999998e-05
515 4.7500000000000003e-06 4.8458000000000003e-05
516 4.5419999999999999e-06 5.1082999999999999e-05
517 4.5410000000000002e-06 4.3958999999999997e-05
518 4.7079999999999996e-06 6.5291999999999998e-05
519 4.8330000000000001e-06 4.7709e-05
520 5.0000000000000004e-06 5.0083000000000001e-05
521 5.1250000000000001e-06 5.3667e-05
522 4.8749999999999999e-06 4.9959000000000001e-05
523 4.9590000000000003e-06 5.1709000000000002e-05
524 4.916e-06 4.6334000000000001e-05
525 4.9169999999999997e-06 4.8124999999999997e-05
526 4.9579999999999998e-06 4.9583000000000003e-05
527 4.9169999999999997e-06 4.5707999999999997e-05
528 4.8749999999999999e-06 5.0207999999999998e-05
529 4.8749999999999999e-06 4.8334000000000002e-05
530 4.8749999999999999e-06 4.8916999999999999e-05
531 4.9579999999999998e-06 5.1959000000000002e-05
532 4.7079999999999996e-06 5.6749999999999997e-05
533 4.792e-06 5.7750000000000001e-05
534 5.0420000000000002e-06 0.00011175000000000001
535 6.3749999999999999e-06 7.8541999999999994e-05
536 5.0000000000000004e-06 9.2916000000000003e-05
537 5.3329999999999996e-06 5.1208000000000002e-05
538 4.6659999999999999e-06 0.00017141699999999999
539 5.75e-06 0.000121209
540 1.0458e-05 8.2332999999999999e-05
541 5.1250000000000001e-06 5.5708000000000003e-05
542 6.4169999999999997e-06 6.3458000000000001e-05
543 5.0420000000000002e-06 6.9375000000000006e-05
544 6.5830000000000003e-06 4.4082999999999998e-05
545 4.8339999999999998e-06 4.3374999999999997e-05
546 5.0830000000000003e-06 4.6458000000000001e-05
547 4.9590000000000003e-06 4.7958999999999999e-05
548 4.8330000000000001e-06 4.5791999999999998e-05
549 4.7500000000000003e-06 4.1458000000000002e-05
550 5.0000000000000004e-06 4.3208999999999999e-05
